
CLUSTER 0:
74;371
159;29
157;170
2058;2316
292;191
253;64
5532;9325
72;2607
636;698
413;275

CLUSTER 1:
17957;1574921
92;1886102
5711;1468742
85;2445792
149152;2116136
0;1463710
182;2011619
11232;3252132

CLUSTER 2:
449752;417823
493902;490832
483546;527700
320552;337641
476964;477580
393820;396131
398036;401212
782892;814475
289785;292560
430655;454037

CLUSTER 3:
281048;692214
197816;530841
1464;1181945
87;413412
983;573130
1865;555760
384;689945
59613;455601
116;686526
2154;379254

CLUSTER 4:
5896;167884
66141;203567
106439;96972
105250;117037
63010;68131
46758;68966
68257;66190
61355;62784
210438;226023
54751;86069
