friends_count,followers_count,cluster number
480,567,0
80,659,0
911,822,0
864,951,0
358,4513,0
41,0,0
1,0,0
0,168,0
83,35,0
55,127,0
548,694,0
1327,752,0
1967,1363,0
336,1106,0
409,124,0
107,7097,0
2002,1108,0
16,16,0
1468,178,0
564,647,0
1626,947,0
0,1,0
162,382,0
316,103,0
255,284,0
144,665,0
444,770,0
980,862,0
2202,1913,0
116,82,0
170,69,0
332,352,0
17070,14970,0
138,178,0
83,374,0
365,658,0
1182,1904,0
2,2,0
299,288,0
163,248,0
2894,422,0
47,64,0
307,386,0
1091,3985,0
1674,569,0
410,149,0
15,21,0
63010,68131,4
80,12,0
124,401,0
363,726,0
370,604,0
678,465,0
61,40,0
186,341,0
13951,30709,0
535,575,0
803,1628,0
1207,729,0
667,44,0
890,924,0
2372,977,0
308,2319,0
1653,641,0
6755,7016,0
367,929,0
383,442,0
50,101,0
90,133,0
1886,237,0
1,3,0
654,187,0
388,208,0
1491,2600,0
564,718,0
209,197,0
2012,1933,0
180,171,0
1073,585,0
568,18,0
62,35,0
958,1101,0
872,10272,0
17,23,0
17,21,0
379,366,0
53,334,0
956,420,0
776,913,0
2394,3102,0
138,70,0
387,533,0
259,287,0
0,13,0
7806,7597,0
650,627,0
439,538,0
438,280,0
61,97,0
1341,1536,0
105,3205,0
3297,1189,0
3249,4218,0
86,11501,0
197816,530841,2
1010,220,0
623,679,0
539,374,0
40,3,0
687,323,0
225,7262,0
190,23,0
234,125,0
57,72,0
15,15,0
1015,871,0
418,19,0
388,233,0
80,107,0
232,157,0
127,120,0
129,47,0
105,3205,0
69,61,0
22,8,0
1257,1839,0
208,210,0
255,257,0
171,574,0
124,57,0
49,68,0
1668,1021,0
158,157,0
1017,377,0
0,205,0
2050,890,0
525,524,0
4004,4768,0
720,1031,0
454,4324,0
781,784,0
412,295,0
9,0,0
2207,1929,0
2207,1929,0
952,6990,0
5027,4643,0
492,557,0
644,742,0
998,5655,0
340,289,0
0,1,0
86,920,0
243,95,0
1197,1150,0
171,94,0
29,126,0
6152,6438,0
382,462,0
13,2,0
2029,1116,0
791,1071,0
13,54,0
110,804,0
2,2,0
79,48,0
689,695,0
46758,68966,0
132,284,0
408,296,0
0,10,0
357,911,0
182,186,0
47,69,0
37,16,0
640,401,0
873,538,0
188,68,0
546,606,0
953,1279,0
619,1003,0
901,289,0
563,720,0
42,4,0
555,138,0
977,724,0
1060,1825,0
619,1003,0
644,2912,0
2471,2679,0
312,296,0
215,176,0
458,219,0
1126,460,0
536,36,0
129,424,0
190,23,0
506,656,0
936,1103,0
1128,24883,0
526,366,0
79,123,0
285,603,0
980,397,0
69,38,0
205,50,0
71,53,0
1949,1692,0
386,432,0
16,43,0
212,27,0
432,309,0
90,90,0
138,94,0
260,1274,0
1,366,0
1,1,0
1430,864,0
57,3,0
292,211,0
2110,3131,0
159,179,0
2004,961,0
55,50,0
612,944,0
38,7,0
536,322,0
3374,6427,0
236,280,0
474,154,0
189,310,0
1957,2098,0
718,350,0
501,400,0
481,75751,0
41,43,0
787,198,0
0,61,0
36,80,0
16,12,0
432,440,0
135,137,0
299,297,0
7041,43482,0
214,7898,0
1900,25953,0
380,367,0
463,577,0
293,289,0
3145,2913,0
127,134,0
1277,1604,0
108,153,0
9778,11518,0
340,511,0
517,538,0
124,137,0
528,6032,0
238,210,0
271,343,0
988,1745,0
1285,1350,0
601,338,0
66,71,0
444,590,0
575,237,0
106,7,0
16,23,0
37,15,0
0,803,0
112,4784,0
15,171,0
593,853,0
426,125,0
922,349,0
141,1885,0
681,317,0
1846,1446,0
194,323,0
442,682,0
261,302,0
29,1,0
12,13,0
355,1401,0
0,6,0
197,1973,0
1782,1805,0
1415,4510,0
350,108,0
376,350,0
4749,4729,0
296,464,0
1730,2506,0
100,126,0
575,526,0
301,71,0
283,1093,0
145,234,0
68257,66190,4
282,103,0
204,113,0
2571,2493,0
20,11,0
156,136,0
695,712,0
3,4,0
1379,1170,0
257,313,0
965,316,0
575,569,0
173,267,0
0,77,0
7760,8522,0
656,194,0
61355,62784,0
374,490,0
308,1422,0
270,170,0
980,1344,0
1329,1384,0
0,0,0
393,401,0
627,634,0
352,440,0
67,18,0
523,444,0
1627,3247,0
700,734,0
1017,644,0
197,190,0
197,47,0
420,655,0
111,7085,0
867,408,0
228,182,0
5,845,0
64,64,0
8261,12818,0
216,123,0
703,814,0
563,380,0
434,358,0
417,237,0
0,250,0
238,192,0
0,158,0
203,199,0
2813,13052,0
209,228,0
1938,945,0
25,8,0
378,395,0
14,9,0
30,14,0
218,341,0
411,30197,0
197,4357,0
393,313,0
1225,209,0
233,155,0
18,21,0
195,175,0
1128,962,0
1075,1338,0
420,462,0
1489,1558,0
354,527,0
276,182,0
208,212,0
644,134,0
1060,237,0
68,42,0
243,120,0
1926,1695,0
539,201,0
1200,1497,0
102,41,0
841,1634,0
8,3,0
301,2541,0
7,41,0
43,45,0
186,701,0
197,209,0
230,34,0
1162,2822,0
76,1507,0
25,152,0
265,502,0
75,92,0
1351,796,0
27,68,0
128,141,0
0,1,0
1625,711,0
100,103,0
264,149,0
273,120,0
233,103,0
30407,31073,0
159,69,0
1953,1537,0
374,14776,0
754,135,0
6,7,0
211,293,0
18427,21403,0
80,40,0
185,209,0
278,2078,0
706,4823,0
315,216,0
126,83,0
264,595,0
178,296,0
317,408,0
3307,2021,0
6541,7938,0
45,45,0
256,79,0
2158,1119,0
97,90,0
21,6,0
203,138,0
210438,226023,4
0,1,0
201,267,0
301,714,0
215,120,0
42,28,0
2,1,0
127,75,0
54751,86069,4
111,127,0
299,2090,0
648,734,0
6320,6441,0
3911,3621,0
899,1066,0
43,15,0
2474,3269,0
240,168,0
4202,4292,0
129,300,0
40,163,0
405,201,0
326,372,0
159,251,0
1781,395,0
419,384,0
131,118,0
60,139,0
1972,2067,0
536,450,0
1324,71,0
761,684,0
94,144,0
114,124,0
1334,4727,0
2321,466,0
350,420,0
82,91,0
611,424,0
44,6,0
999,1588,0
518,487,0
1253,1197,0
25,32,0
82,73,0
285,313,0
285,173,0
8782,13731,0
173,660,0
349,458,0
1041,1395,0
10,5,0
135,150,0
312,304,0
311,86,0
354,260,0
275,38,0
1436,190,0
296,157,0
56,59,0
113,106,0
12,7,0
7,5,0
352,2192,0
156,145,0
1052,1087,0
339,2768,0
411,479,0
0,5,0
3089,3164,0
502,156,0
198,542,0
18,6,0
2432,2277,0
117114,175291,4
161,63,0
228,938,0
450,302,0
80,601,0
933,1778,0
134,277,0
45,681,0
216,110,0
1243,707,0
166,499,0
211,150,0
304,71,0
520,355,0
540,503,0
165,198,0
141,289,0
9,6,0
575,188,0
1021,958,0
1117,563,0
786,140,0
9,7,0
740,624,0
795,417,0
379,424,0
243,277,0
135,254,0
420,925,0
2078,1628,0
69,8,0
202,155,0
268,1478,0
109,49,0
158,28,0
152,166,0
96,222,0
551,430,0
2080,3437,0
127,151,0
201,340,0
454,60,0
76,160,0
121,3736,0
317,321,0
0,0,0
195,65,0
1841,1068,0
321,415,0
124,106,0
101,267,0
9,7,0
17815,17867,0
742,522,0
179,135,0
35,8,0
308,82,0
969,513,0
874,891,0
161,171,0
55,151,0
12,15400,0
25,103,0
3646,3428,0
44,29,0
890,1010,0
189,346,0
163,1592,0
1974,1139,0
285,576,0
7884,14476,0
321,424,0
25,13,0
440,320,0
1218,464,0
488,357,0
3703,4908,0
139,113,0
0,38,0
25,66,0
26,12,0
181,182,0
67,30,0
289,79,0
304,53,0
173,516,0
4375,5279,0
67,10,0
165,153,0
829,803,0
16,217,0
221,442,0
963,819,0
280,289,0
382,378,0
181,240,0
255,352,0
607,661,0
9,0,0
120,127,0
642,613,0
262,22,0
1212,1708,0
273,274,0
22,28,0
531,856,0
307,518,0
41,4,0
31,6,0
332,185,0
135,141,0
48,36,0
62,8,0
360,316,0
0,174,0
58,58,0
21839,26110,0
177,33,0
2342,2957,0
73,21,0
0,18,0
200,475,0
16,47,0
487,196,0
165,100,0
226,201,0
1067,320,0
462,497,0
140,118,0
76,36,0
3,0,0
91,704,0
841,500,0
538,668,0
842,2269,0
3021,3233,0
54,3789,0
114,168,0
91,155,0
84,51,0
3645,3387,0
427,511,0
211,252,0
93,114,0
3,28,0
67,78,0
38,53,0
296,296,0
245,184,0
55,221,0
604,691,0
59,60,0
9989,9981,0
345,170,0
911,906,0
313,65,0
12,142,0
36,59,0
622,18,0
868,329,0
117,92,0
387,227,0
37,36,0
270,66,0
46,23365,0
1745,3837,0
100,1628,0
9,1,0
143,348,0
99,345,0
855,1198,0
2149,3108,0
97,83,0
5788,5281,0
1450,1115,0
5,119,0
64,84,0
171,117,0
892,2054,0
3922,5478,0
270,21,0
11854,16787,0
61,46,0
25,5547,0
403,821,0
50,5,0
59,49,0
500,346,0
589,116,0
5,560,0
3147,1510,0
64,360,0
26,26,0
670,148,0
258,836,0
7174,7057,0
139,208,0
1397,1424,0
1977,1968,0
9,1,0
78,237,0
762,136,0
1061,1151,0
80,152,0
290,244,0
163,114,0
323,588,0
0,92,0
832,245,0
387,356,0
242,68,0
7284,11074,0
1621,692,0
23,2,0
1980,747,0
53,11,0
489,50,0
98,113,0
240,210,0
189,83,0
155,134,0
316,731,0
6921,7120,0
408,626,0
411,1102,0
1405,1469,0
377,283,0
77,21,0
193,183,0
884,1022,0
1,27,0
417,640,0
31,48,0
4,935,0
393,588,0
346,417,0
21,274,0
188,29,0
51,166,0
106,495,0
11,8,0
345,501,0
1664,2223,0
311,232,0
594,597,0
538,471,0
5003,4570,0
67,377,0
43,74,0
201,302,0
146,70,0
64,88,0
50,63,0
882,760,0
2,0,0
8,9,0
172,65,0
59,147,0
5003,4570,0
277,288,0
25,7,0
77,2,0
438,553,0
284,135,0
599,606,0
30,49,0
13,4,0
491,166,0
403,390,0
132,192,0
324,441,0
247,278,0
478,1145,0
990,920,0
0,0,0
2507,2596,0
204,8321,0
1609,1293,0
187,248,0
593,730,0
2018,937,0
167,105,0
6423,40247,0
108,56,0
432,855,0
1707,1559,0
311,65,0
25,16,0
1211,808,0
4,90,0
389,367,0
13668,14939,0
3275,4617,0
332,282,0
423,187,0
228,356,0
134,70,0
2437,9879,0
3010,2959,0
825,251,0
1,0,0
646,998,0
299,291,0
76,181,0
1638,2480,0
183,149,0
22,58,0
628,1299,0
502,442,0
40,2,0
0,1283,0
1242,96,0
1504,596,0
2748,3375,0
88,36,0
1248,1227,0
342,5,0
612,596,0
1951,1239,0
53,444,0
65,28,0
659,383,0
496,925,0
421,89,0
542,761,0
485,1809,0
365,600,0
774,179,0
41070,68462,0
216,511,0
51,112,0
9495,9679,0
96,73,0
6430,7385,0
159,3301,0
91,524,0
1689,2243,0
224,174,0
33,30,0
907,1300,0
1730,135,0
489,399,0
531,632,0
46,22,0
1191,1301,0
21,4,0
75,116,0
0,140,0
49,55,0
9,157,0
453,592,0
426,186,0
123,89,0
3,0,0
398,454,0
1319,1863,0
531,584,0
70,40,0
84,140,0
1221,28395,0
96,175,0
230,360,0
59,2324,0
44,14,0
174,252,0
192,211,0
253,352,0
2145,612,0
144,261,0
38,2,0
384,491,0
158,1266,0
216,853,0
333,143,0
39,3,0
73,505,0
126,74,0
5,16,0
406,409,0
47,31,0
194,189,0
2478,2207,0
156,100,0
61,187,0
164,496,0
358,146,0
2,164,0
114,273,0
9,7,0
32,63,0
476,482,0
550,590,0
917,145,0
449,584,0
270,481,0
560,542,0
1227,1332,0
216,973,0
82,9,0
0,10,0
289,799,0
194,336,0
504,328,0
1382,769,0
297,284,0
179,218,0
54,37,0
3,6,0
1300,134,0
215,141,0
67,73,0
453,165,0
5001,2746,0
206,232,0
100,66,0
0,0,0
184,100,0
25,24,0
71,76,0
4,1033,0
899,881,0
1089,1077,0
1147,1819,0
669,4952,0
231,247,0
194,133,0
38,11,0
1464,1181945,2
173,127,0
114,86,0
0,1,0
959,1698,0
138,119,0
2216,2097,0
234,100,0
5000,2233,0
83,60,0
200,686,0
124,74,0
442,531,0
983,807,0
288,227,0
138,85,0
2372,977,0
139,156,0
1945,32611,0
108,37,0
179,115,0
515,519,0
165,171,0
117,13,0
368,871,0
336,448,0
169,790,0
403,537,0
1075,592,0
461,203,0
45,25,0
